GeneID	Base	mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene	name
FBgn0039155	1086.97429520489	-4.14844993705661	0.134948867839886	-30.7409021169311	1.61792088186568e-207	1.38769074037619e-203	chr3R	24141394	24147490	+	protein_coding	Kal1
FBgn0003360	6409.57712820784	-2.99977727873544	0.104345058109832	-28.7486281868559	9.4223817967275e-182	4.04078843352659e-178	chrX	10780892	10786958	-	protein_coding	sesB
FBgn0026562	65114.8405637953	-2.38016404989419	0.0843269165534173	-28.2254367546626	2.85047326909095e-175	8.14950307633101e-172	chr3R	26869237	26871995	-	protein_coding	BM-40-SPARC
FBgn0025111	2192.32236942864	2.69993883050213	0.0979445703052369	27.5659878039995	2.84676424384962e-167	6.10417422987454e-164	chrX	10778953	10786907	-	protein_coding	Ant2
FBgn0029167	5430.06727658048	-2.1050615563676	0.0925465977273596	-22.7459637421688	1.57328326759639e-114	2.69881011723484e-111	chr3L	13846053	13860001	+	protein_coding	Hml
FBgn0039827	390.901782011095	-3.50301408325544	0.160029619796584	-21.8897857015982	3.25038404333907e-106	4.6464239899532e-103	chr3R	31196915	31203722	+	protein_coding	CG1544
FBgn0035085	928.263812261588	-2.41407407908727	0.115185159372971	-20.9582040970266	1.57934340705397e-97	1.93514691461456e-94	chr2R	24945138	24946636	+	protein_coding	CG3770
FBgn0034736	330.38302328757	-3.01817864351424	0.1581541829928	-19.0837737352267	3.44466115760137e-81	3.69310734359337e-78	chr2R	22550093	22552113	+	protein_coding	CG6018
FBgn0264475	955.454453674265	-2.33448625218342	0.124230026383656	-18.7916425693568	8.84004053458225e-79	8.42455862945688e-76	chr3L	820758	821512	+	lincRNA	CR43883
FBgn0000071	468.057925667952	2.36001723954814	0.135643968761692	17.3986153685489	8.45213733968312e-68	7.24939819624622e-65	chr3R	6762592	6765261	+	protein_coding	Ama
FBgn0029896	708.938170145817	-2.20240483861832	0.12829443076579	-17.1668000354509	4.70662359125652e-66	3.66988277656429e-63	chrX	6720003	6739986	-	protein_coding	CG3168
FBgn0038832	429.850329748409	-2.34071110479025	0.154836505034645	-15.1173077968049	1.24530653060456e-51	8.90082842749608e-49	chr3R	20842139	20844981	+	protein_coding	CG15695
FBgn0037754	394.464100332039	-2.07199361641009	0.144940686340638	-14.2954588440441	2.33561295345569e-46	1.54096556167611e-43	chr3R	9784652	9789323	+	protein_coding	CG8500
FBgn0264753	170.064179570852	-2.59345911904556	0.181963810030591	-14.2526094535477	4.31838362639663e-46	2.64562688311456e-43	chr2R	19311147	19356525	-	protein_coding	Rgk1
FBgn0034897	1340.88978023299	-1.79510650765491	0.126292028659965	-14.2139335847406	7.50865544284331e-46	4.2934491822178e-43	chr2R	23713899	23734846	+	protein_coding	Sesn
FBgn0035189	307.044836616	2.42860686965085	0.172849293531902	14.0504298283558	7.65678958342339e-45	4.1045177660639e-42	chr3L	1203315	1204795	-	protein_coding	CG9119
FBgn0011260	291.046800019107	1.96746091024374	0.144441835125909	13.6211292838305	2.99894275029689e-42	1.51305482172332e-39	chr2R	16500177	16533459	+	protein_coding	Sema-2a
FBgn0027279	4342.46222938062	-1.1655677831358	0.0860264383092898	-13.5489485098204	8.03731940257997e-42	3.82978269532936e-39	chrX	22487179	22508129	+	protein_coding	l(1)G0196
FBgn0040099	1269.36257331921	-1.65424331975076	0.123150545461322	-13.4326917802432	3.89009850687265e-41	1.75607236281298e-38	chr2L	7857076	7860120	+	protein_coding	lectin-28C
FBgn0024288	86.5827933670693	-2.86781820432562	0.214876855892479	-13.3463336124046	1.24423745564861e-40	5.33591232854907e-38	chr3R	31065252	31083407	+	protein_coding	Sox100B
FBgn0001226	1764.7869878867	1.56713548792379	0.117953762175337	13.2860152912652	2.79047587956182e-40	1.13971007709532e-37	chr3L	9384062	9385694	+	protein_coding	Hsp27
FBgn0085359	101.004767343504	-2.9091382332846	0.219771777205915	-13.2370874471242	5.3586919663542e-40	2.08915913615545e-37	chrX	19068274	19068973	-	protein_coding	CG34330
FBgn0040091	1618.13816430751	-1.47305267344598	0.112465128772984	-13.097861439517	3.38666171567292e-39	1.2629303276229e-36	chr2R	22641785	22643917	-	protein_coding	Ugt58Fa
FBgn0262733	551.049205466041	1.85754995126773	0.143393174684408	12.9542424550958	2.22319930515418e-38	7.94515851679475e-36	chr3L	4592446	4626196	-	protein_coding	Src64B
FBgn0023479	4584.75321807884	-1.44785739807617	0.111861357441367	-12.9433204744997	2.56307402417049e-38	8.79339436212412e-36	chr3L	9074642	9092131	+	protein_coding	Tequila
FBgn0052407	285.534784670639	-1.86794067139063	0.1482109400161	-12.6032577027561	2.02600299600879e-36	6.6834721910644e-34	chr3L	5922054	5923567	+	protein_coding	CG32407
FBgn0051092	230.574621771462	1.95080030279815	0.156436810468576	12.4702127137143	1.08535937688966e-35	3.4478249539195e-33	chr3R	25698726	25740465	-	protein_coding	LpR2
FBgn0039419	2681.64820004943	-1.11967740680523	0.0904723138683725	-12.3759121319063	3.52862629931894e-35	1.08089384890209e-32	chr3R	26230247	26234700	+	protein_coding	CG12290
FBgn0261552	8903.62977454312	-1.63112303837855	0.133140316584093	-12.2511578778492	1.65614323099323e-34	4.89818637663067e-32	chr3R	9417939	9455500	+	protein_coding	ps
FBgn0034010	781.852495028266	-1.36781208403948	0.114824472813365	-11.9121999912224	1.02243504130652e-32	2.92314178309535e-30	chr2R	15325502	15326386	-	protein_coding	CG8157
FBgn0261673	95.3388983190457	2.40798626618519	0.20329935687958	11.8445345973795	2.2968990862069e-32	6.35500111690213e-30	chr2R	12659496	12670219	-	protein_coding	nemy
FBgn0031150	1189.25954357395	1.18524287689931	0.100784819453359	11.7601329577994	6.26355822933921e-32	1.67882934165758e-29	chrX	21053962	21082391	+	protein_coding	bves
FBgn0033913	7588.20927372125	-1.12609112948969	0.0971627301101654	-11.5897436003795	4.64520996267023e-31	1.20733229847947e-28	chr2R	14219897	14230620	+	protein_coding	CG8468
FBgn0264437	197.836508947753	2.14543847358038	0.185437411867229	11.5696096703317	5.87493317771687e-31	1.48203829015522e-28	chr2L	8590369	8594489	-	lincRNA	CR43855
FBgn0040827	316.742381220904	-1.72262561701717	0.149975508396385	-11.486046191384	1.55047087277792e-30	3.79953962166179e-28	chr3L	9096876	9097494	+	protein_coding	CG13315
FBgn0037290	101.937192923362	2.281484098595	0.199476243552778	11.4373724808557	2.71998650344122e-30	6.48036784444871e-28	chr3R	4965444	4968485	+	protein_coding	CG1124
FBgn0016715	202.183710806775	-1.91129816375253	0.167996123874327	-11.3770372772548	5.44171267142375e-30	1.2614478265622e-27	chr3L	605164	606569	-	protein_coding	Reg-2
FBgn0031912	1975.09179774423	-1.09267486829964	0.0981226532779611	-11.1358063790256	8.39814722365224e-29	1.89555022992803e-26	chr2L	7426865	7430329	+	protein_coding	CG5261
FBgn0003748	1600.65215151542	1.0412023680703	0.095499348078033	10.9027170239898	1.11866081742325e-27	2.46019329001006e-25	chr2R	21074017	21088945	+	protein_coding	Treh
FBgn0001224	866.042882593671	1.349154395717	0.123826604404884	10.895513142762	1.21082079804983e-27	2.59630249621835e-25	chr3L	9381881	9382765	+	protein_coding	Hsp23
FBgn0035147	28915.9028793075	-1.11819742416834	0.104821958348307	-10.6675876103435	1.44324785622521e-26	2.94731830067706e-24	chr3L	648554	651311	+	protein_coding	Gale
FBgn0261362	8573.81484277382	1.37429590315221	0.129070247411463	10.6476583931159	1.78806226453063e-26	3.5665604750882e-24	chr2R	17887219	17889973	-	protein_coding	PPO1
FBgn0024315	135.234124462537	-1.90966797199769	0.180302355172455	-10.59147547003	3.26405868564485e-26	6.36268894244906e-24	chr2R	16655322	16667675	-	protein_coding	Picot
FBgn0261596	24584.3057035696	-1.04695773378296	0.0989413844091812	-10.5815957603057	3.62727106555296e-26	6.91357865094393e-24	chr2R	22640525	22641419	-	protein_coding	RpS24
FBgn0032405	116.002919219642	1.94491333081251	0.185504223142294	10.4844692906028	1.01815661874955e-25	1.89841941717716e-23	chr2L	12063456	12066775	-	protein_coding	CG14946
FBgn0039109	663.673672415969	-1.24008932849044	0.118444335520131	-10.4698069607531	1.18885191229268e-25	2.16952826632645e-23	chr3R	23723330	23731499	+	protein_coding	CG10365
FBgn0260011	131.7733475217	1.8965148802511	0.181972316601386	10.4219966842839	1.96778034197606e-25	3.51617749856848e-23	chr2L	14047581	14048863	+	protein_coding	NimC4
FBgn0261584	263.563999356437	-1.76386401613538	0.173393168585477	-10.1726269294505	2.62725776730184e-24	4.50679797402957e-22	chr2R	22941876	22945147	+	protein_coding	CG42694
FBgn0053307	1496.22318613873	-1.30646106300559	0.130526936786863	-10.0091298789835	1.38969391214984e-23	2.33713817343317e-21	chr2L	13839261	13841520	-	protein_coding	CG33307
FBgn0063649	839.904531248908	-1.14800827722834	0.114904395037165	-9.99098665335665	1.66912000986715e-23	2.75308506242895e-21	chr3R	16154981	16171766	+	protein_coding	CG6006
FBgn0001137	667.625236905826	-1.27381945154534	0.127671525607546	-9.97731832124394	1.91574403945084e-23	3.1002521936547e-21	chr2L	8431085	8433598	-	protein_coding	grk
FBgn0259715	1168.7467051574	-1.57781642917229	0.158318549988734	-9.96608691328066	2.14514484074057e-23	3.40720505537627e-21	chr2L	6395852	6397249	-	protein_coding	CG42369
